title,genres,vote_average,genres_bin,new_id
Oh Dem Watermelons,['sin_dat'],6.7,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0]",73
Confine,['Thriller'],4.0,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",74
Too Much Sleep,['sin_dat'],0.0,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0]",75
House of D,"['Comedy', 'Drama']",6.2,"[1, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",76
Hiawatha,"['Drama', 'Romance', 'Western']",0.0,"[0, 1, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0]",77
Queen of Blood,"['Horror', 'Science Fiction']",5.3,"[0, 0, 0, 0, 1, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",78
Shark Skin Man and Peach Hip Girl,"['Comedy', 'Action', 'Thriller', 'Mystery']",6.7,"[1, 0, 0, 0, 0, 0, 1, 0, 0, 1, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0]",79
Cherry,"['Comedy', 'Drama', 'Romance']",6.5,"[1, 1, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",80
Stratos,"['Crime', 'Drama']",5.8,"[0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",81
Unforgotten Shadows,"['Adventure', 'Comedy', 'Mystery']",5.0,"[1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1, 0, 0, 0, 0, 0, 0, 0, 0]",82
